"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TXG","10x Genomics, Inc.","120.14","$12.54B","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/txg",
"YI","111, Inc.","5.95","$490.04M","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","4.42","$26.82M","2014","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","24.89","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.99","$61.93M","n/a","Finance","Finance/Investors Services","https://old.nasdaq.com/symbol/turn",
"FLWS","1-800-FLOWERS.COM, Inc.","22.865","$1.47B","1999","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/flws",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.44","$46.04M","2019","Finance","Banks","https://old.nasdaq.com/symbol/bcow",
"ONEM","1Life Healthcare, Inc.","29.05","$3.67B","2020","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/onem",
"FCCY","1st Constitution Bancorp (NJ)","12.09","$123.51M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","32.72","$836.01M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","20.74","$2.35B","2011","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","33.25","$2.14B","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/twou",
"QFIN","360 DigiTech, Inc.","11.24","$1.65B","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/qfin",
"KRKR","36Kr Holdings Inc.","2.73","$102.36M","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/krkr",
"JOBS","51job, Inc.","79.42","$5.33B","2004","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/jobs",
"ETNB","89bio, Inc.","24.89","$419.49M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/etnb",
"JFK","8i Enterprises Acquisition Corp","8.49","$63.06M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfk",
"JFKKR","8i Enterprises Acquisition Corp","0.805","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkkr",
"JFKKU","8i Enterprises Acquisition Corp","11","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkku",
"JFKKW","8i Enterprises Acquisition Corp","1.02","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkkw",
"EGHT","8x8 Inc","15.19","$1.58B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"NMTR","9 Meters Biopharma, Inc.","0.6814","$94.67M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nmtr",
"JFU","9F Inc.","0.905","$176.65M","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/jfu",
"AAON","AAON, Inc.","57.81","$3.02B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aaon",
